,author,date,title,description,url,urlToImage,publishedAt,content,source.id,source.name
10,,,"US dollar net longs skid in latest week -CFTC, Reuters data - Reuters","Speculators' net long positioning on the U.S. dollar fell in the latest week, according to calculations by Reuters and U.S. Commodity Futures Trading Commission data released on Friday.",https://www.reuters.com/markets/stocks/us-dollar-net-longs-skid-latest-week-cftc-reuters-data-2021-12-10/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=63,2021-12-10T21:47:00Z,"NEW YORK, Dec 10 (Reuters) - Speculators' net long positioning on the U.S. dollar fell in the latest week, according to calculations by Reuters and U.S. Commodity Futures Trading Commission data rele… [+3356 chars]",reuters,Reuters
11,Richard Lawler,,DraftKings signs up real NFL players to use in ‘gamified NFT collections’ next season,"DraftKings says it will add a game based on NFT collectibles next year, to go along with its betting and daily fantasy operations. It will feature real NFL players thanks to a deal with the NFL Players Association.",https://www.theverge.com/2021/12/12/22829795/nft-game-gambling-draftkings-nflpa-polygon,https://cdn.vox-cdn.com/thumbor/fDsHZsqpKV1qqr-uwQdSWDQCQdA=/0x0:2269x1188/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23081691/1229235990.jpg,2021-12-12T14:00:00Z,"So, its like Yu-Gi-Oh?
If you buy something from a Verge link, Vox Media may earn a commission. See our ethics statement.
New England Patriots cornerback Stephon Gilmore (24) stretches during the N… [+5624 chars]",the-verge,The Verge
12,Nishant Sharma,,Indian Prime Minister Narendra Modi’s Twitter Account Gets Hacked,Indian Prime Minister Modi’s Twitter Account Gets Hacked,https://www.bloombergquint.com/technology/indian-prime-minister-narendra-modis-twitter-account-gets-hacked,https://gumlet.assettype.com/bloombergquint%2F2021-12%2Fb67447d9-9544-4db4-83c4-1fc0b25684c2%2F381626897.jpg?rect=0%2C0%2C3998%2C2099&w=1200&auto=format%2Ccompress&ogImage=true,2021-12-12T06:49:45Z,"The matter was escalated to Twitter and the account has been immediately secured, it said. In the brief period that the account was compromised, any Tweet shared must be ignored.
Before the account … [+709 chars]",,BloombergQuint
13,insider@insider.com (Carla Mozée),,US stocks jump as investors skirt inflation data showing prices rising at fastest pace in 40 years,"CPI data showed that inflation is rising at the fastest pace since 1980, with prices increasing 6.8% year-over-year in November.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-inflation-cpi-fed-dow-nasdaq-2021-12,https://images2.markets.businessinsider.com/612e71ca12b9cc0019638b66?format=jpeg,2021-12-10T14:35:49Z,"Traders working at the New York Stock Exchange.Xinhua/Wang Ying via Getty Images
US stocks rose Friday and headed toward weekly gains as US consumer inflation kicked up to its highest rate in 39 yea… [+1553 chars]",business-insider,Business Insider
14,cshumba@insider.com (Camomile Shumba),,US futures edge higher as investors await data that could show inflation is running at 40-year highs,US stock futures marked modest gains Friday as investors anticipated the inflation data that is coming out today.,https://markets.businessinsider.com/news/stocks/stock-markets-today-futures-inflation-fed-taper-cryptocurrencies-commodities-high-2021-12,https://images2.markets.businessinsider.com/616eda0dc6a5c100188959b7?format=jpeg,2021-12-10T11:03:13Z,"Traders wait.Brendan McDermid/Reuters
US stock futures marked modest gains Friday, after the benchmark S&amp;P 500 index closed the previous day on a sour note, as investors awaited inflation data l… [+2366 chars]",business-insider,Business Insider
15,"info@hypebeast.com (HYPEBEAST), HYPEBEAST",,Bitcoin Mining Has Recovered After China’s Crypto Ban,"Bitcoin mining has rebounded after China's recent cryptocurrency crackdown, according to data from Blockchain.com and BTC.com.Prior to the crackdown, China represented the largest average monthly hashrate share, or computational power required to mine Bitcoin…",https://hypebeast.com/2021/12/bitcoin-mining-recovered-china-ban-hashrate,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2021%2F12%2Fbitcoin-mining-recovered-china-ban-hashrate-tw.jpg?w=960&cbr=1&q=90&fit=max,2021-12-11T23:11:33Z,"Bitcoin mining has rebounded after China’s recent cryptocurrency crackdown, according to data from Blockchain.com and BTC.com.
Prior to the crackdown, China represented the largest average monthly h… [+1442 chars]",,HYPEBEAST
16,insider@insider.com (Katie Canales),,The next age of the internet could suck power away from Big Tech while living on the same backbone as cryptocurrencies. Here's what to know about Web3.,"The internet's next chapter will be all about Web3, the metaverse, NFT's, and cryptocurrencies — and less about powerhouses like Facebook and Google.",https://www.businessinsider.com/what-is-web3-internet-blockchain-cryptocurrency-web1-web2-future-2021-12,https://i.insider.com/61b27d6b4ca6740019eb83bd?width=1200&format=jpeg,2021-12-11T12:50:00Z,"In the next era of the internet, you won't have a social account for each platform.
Instead, you'll have a single social account, able to move with it from Facebook and Twitter, to Google, shopping … [+3783 chars]",business-insider,Business Insider
17,Katie Rees,,Bitcoin vs. Ethereum: Which Uses the Most Power?,Bitcoin and Ethereum are such popular cryptocurrencies that their huge energy use is a real concern. Find out which is the worst offender.,https://www.makeuseof.com/bitcoin-vs-ethereum-which-uses-most-power/,https://static1.makeuseofimages.com/wordpress/wp-content/uploads/2021/12/btc-eth-pic.jpg,2021-12-10T11:00:22Z,"The vast amount of energy that cryptocurrencies use has long been a point of contention between enthusiasts and critics. It's no secret that blockchain activity, from mining coins to conducting trans… [+7599 chars]",,MakeUseOf
18,Mark Frauenfelder,,"This guy's hard drive with $500 million in bitcoin is lost at a dump, and local officials won't let him retrieve it","In 2013 James Howells of Newport, Wales mistakenly tossed his hard drive into the trash, and the next day his wife took it to the local landfill. Sometime later, he realized what happened and has been pleading with local officials ever since to allow him to l…",https://boingboing.net/2021/12/10/this-guys-hard-drive-with-500-million-in-bitcoin-is-lost-at-a-dump-and-local-officials-wont-let-him-retrieve-it.html,https://i0.wp.com/boingboing.net/wp-content/uploads/2021/12/dump.jpg?fit=1200%2C800&ssl=1,2021-12-10T18:02:43Z,"In 2013 James Howells of Newport, Wales mistakenly tossed his hard drive into the trash, and the next day his wife took it to the local landfill. Sometime later, he realized what happened and has bee… [+1883 chars]",,Boing Boing
19,,,Dollar firms ahead of U.S. inflation data; PBOC clips yuan's wings - Reuters,"The dollar was firm on Friday ahead of U.S. inflation figures, which could settle the course of interest rates, while the Chinese yuan was nursing its sharpest drop in months after a nudge lower from authorities triggered a slide.",https://www.reuters.com/markets/europe/dollar-firms-ahead-us-inflation-data-pboc-clips-yuans-wings-2021-12-10/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=63,2021-12-10T01:04:00Z,"SYDNEY, Dec 10 (Reuters) - The dollar was firm on Friday ahead of U.S. inflation figures, which could settle the course of interest rates, while the Chinese yuan was nursing its sharpest drop in mont… [+3393 chars]",reuters,Reuters
